base,,System,Base,,,,,
base-devel,,System,Base,,,,,
linux,,System,Base,,,,,
linux-firmware,,System,Base,,,,,
yay,AUR,System,AUR Helper,,,,,
noto-fonts,,System,Fonts,,,,,
ttf-inconsolata,,System,Fonts,,,,,
ttf-liberation,,System,Fonts,,,,,
terminus-font,,System,Fonts,,,,,
ttf-roboto,,System,Fonts,,,,,
ttf-roboto-mono,,System,Fonts,,,,,
#virtualbox,,System,Emulation/Virtualization/Containers,,,,,
#virtualbox-host-modules-arch,,System,Emulation/Virtualization/Containers,,,,,
#virtualbox-guest-iso,,System,Emulation/Virtualization/Containers,,,,,
#virtualbox-ext-oracle,AUR,System,Emulation/Virtualization/Containers,,,,,
#wine,,System,Emulation/Virtualization/Containers,,,,,
#wine_gecko,,System,Emulation/Virtualization/Containers,,,,,
#wine-mono,,System,Emulation/Virtualization/Containers,,,,,
#winetricks,,System,Emulation/Virtualization/Containers,,,,,
#docker,,System,Emulation/Virtualization/Containers,,,,,
#flatpak,,System,Emulation/Virtualization/Containers,,,,,
#singularity-container,AUR,System,Emulation/Virtualization/Containers,,,,,
networkmanager,,Internet,Network connection,Network managers,,,,
#openvpn,,Internet,Network connection,VPN clients,,,,
#pulse-secure,,Internet,Network connection,VPN clients,,,,
w3m,,Internet,Web browsers,Console,,,,
firefox,,Internet,Web browsers,Graphical,Gecko-based,,,
chromium,,Internet,Web browsers,Graphical,Blink-based,,,
google-chrome,AUR,Internet,Web browsers,Graphical,Blink-based,Proprietary chromium spin-offs,,
#google-cloud-sdk,AUR,Internet,Web servers,VPS Tools,,,,
curl,,Internet,File sharing,Download managers,Console,,,
wget,,Internet,File sharing,Download managers,Console,,,
openssh,,Internet,File sharing,FTP,FTP servers,,,
#skypeforlinux-stable-bin,AUR,Internet,Communication,Instant messaging servers,Other IM servers,,,
#hugo,,Internet,"News, RSS, and blogs",Static site generators,,,,
#geeqie,,Multimedia,Image,Image viewers,Graphical image viewers,,,
#rapid-photo-downloader,,Multimedia,Image,Image organizers,,,,
#imagemagick,,Multimedia,Image,Image processing,,,,
#graphicsmagick,,Multimedia,Image,Image processing,,,,
#darktable,,Multimedia,Image,Photo editors,,,,
#alsa-plugins,,Multimedia,Audio,Audio systems,,,,
alsa-firmware,,Multimedia,Audio,Audio systems,,,,
alsa-tools,,Multimedia,Audio,Audio systems,,,,
pulseaudio,,Multimedia,Audio,Audio systems,,,,
pulseaudio-alsa,,Multimedia,Audio,Audio systems,,,,
pulseaudio-bluetooth,,Multimedia,Audio,Audio systems,,,,
pulseaudio-equalizer,,Multimedia,Audio,Audio systems,,,,
alsa-utils,,Multimedia,Audio,Volume control,,,,
pulsemixer,,Multimedia,Audio,Volume control,,,,
picard,,Multimedia,Audio,Audio tag editors,Graphical,,,
vlc,,Multimedia,Video,Video players,Console,,,
perl-image-exiftool,,Multimedia,Metadata,,,,,
less,,Utilities,Terminal,Terminal pagers,,,,
tmux,,Utilities,Terminal,Terminal multiplexers,,,,
tmux-bash-completion,AUR,Utilities,Terminal,Terminal multiplexers,,,,
ranger,,Utilities,Files,File managers,Console,,,
rsync,,Utilities,Files,File synchronization,,,,
syncthing,,Utilities,Files,File synchronization,,,,
tar,,Utilities,Files,Archiving and compression tools,Archiving only,,,
bzip2,,Utilities,Files,Archiving and compression tools,Compression only,,,
gzip,,Utilities,Files,Archiving and compression tools,Compression only,,,
lzop,,Utilities,Files,Archiving and compression tools,Compression only,,,
xz,,Utilities,Files,Archiving and compression tools,Compression only,,,
p7zip,,Utilities,Files,Archiving and compression tools,Archiving and compression,,,
unrar,,Utilities,Files,Archiving and compression tools,Archiving and compression,,,
zip,,Utilities,Files,Archiving and compression tools,Archiving and compression,,,
unzip,,Utilities,Files,Archiving and compression tools,Archiving and compression,,,
hub,,Utilities,Development,Code forges,Code forge clients,,,
git,,Utilities,Development,Version control systems,,,,
gitkraken,AUR,Utilities,Development,Version control systems,,,,
make,,Utilities,Development,Build automation,,,,
cmake,,Utilities,Development,Build automation,,,,
geany,,Utilities,Development,Integrated development environments,,,,
